cod_usuario,data_cadastro,faixa_etaria,cidade,estado
28,19/01/2020,Entre 22 a 27 anos,Sertão,Rio Grande do Sul
69,24/07/2020,Entre 16 a 21 anos,São Romão,Minas Gerais
89,18/03/2020,Mais de 70 anos,Campestre da Serra,Rio Grande do Sul
124,17/12/2020,Entre 28 a 36 anos,Curral de Dentro,Minas Gerais
153,29/02/2020,Entre 37 a 49 anos,Santiago,Rio Grande do Sul
156,18/03/2019,Entre 16 a 21 anos,Porto Nacional,Tocantins
176,19/03/2021,Entre 28 a 36 anos,Guanambi,Bahia
185,11/03/2021,Entre 16 a 21 anos,Martins,Rio Grande do Norte
191,16/01/2021,Entre 37 a 49 anos,Icatu,Maranhão
441,16/03/2020,Entre 28 a 36 anos,Buriti Bravo,Maranhão
464,19/02/2020,Entre 22 a 27 anos,Paulista,Paraíba
466,08/04/2020,Entre 16 a 21 anos,Pedro Alexandre,Bahia
479,09/02/2020,Entre 50 a 61 anos,Ubaporanga,Minas Gerais
679,11/06/2020,Entre 10 a 15 anos,Rio Negro,Mato Grosso do Sul
700,25/11/2020,Entre 28 a 36 anos,Aragoiânia,Goiás
796,19/12/2020,Entre 62 a 70 anos,Santa Rita de Minas,Minas Gerais
813,16/04/2019,Entre 16 a 21 anos,Pouso Redondo,Santa Catarina
898,18/07/2018,Entre 50 a 61 anos,Quarto Centenário,Paraná
999,23/09/2020,Entre 62 a 70 anos,Canelinha,Santa Catarina
1074,10/07/2018,Entre 16 a 21 anos,Painel,Santa Catarina
1192,13/02/2020,Entre 10 a 15 anos,Aripuanã,Mato Grosso
1415,26/01/2021,Entre 10 a 15 anos,São Borja,Rio Grande do Sul
1676,09/02/2020,Entre 22 a 27 anos,Indiaporã,São Paulo
1691,10/07/2021,Entre 10 a 15 anos,Guaíra,São Paulo
1696,19/06/2021,Entre 50 a 61 anos,Getúlio Vargas,Rio Grande do Sul
1752,01/03/2019,Entre 28 a 36 anos,Darcinópolis,Tocantins
1756,26/11/2020,Entre 62 a 70 anos,Ferraz de Vasconcelos,São Paulo
1769,14/12/2018,Entre 37 a 49 anos,Lindóia,São Paulo
1787,17/03/2019,Entre 50 a 61 anos,Salitre,Ceará
1796,16/05/2021,Entre 16 a 21 anos,Riacho de Santo Antônio,Paraíba
1878,21/05/2020,Entre 50 a 61 anos,Simolândia,Goiás
1947,30/08/2020,Mais de 70 anos,Marmelópolis,Minas Gerais
1974,17/04/2018,Entre 22 a 27 anos,Vila Nova do Piauí,Piauí
2009,12/05/2020,Entre 28 a 36 anos,Bicas,Minas Gerais
2034,29/12/2019,Entre 37 a 49 anos,Acari,Rio Grande do Norte
2155,11/07/2018,Entre 62 a 70 anos,Sítio do Quinto,Bahia
2183,08/03/2019,Entre 28 a 36 anos,São Francisco do Sul,Santa Catarina
2186,27/06/2021,Entre 62 a 70 anos,Laranjal do Jari,Amapá
2216,25/09/2018,Entre 10 a 15 anos,Barroso,Minas Gerais
2274,21/11/2018,Entre 62 a 70 anos,Araranguá,Santa Catarina
2340,31/07/2019,Entre 37 a 49 anos,Araguaiana,Mato Grosso
2350,06/12/2018,Entre 50 a 61 anos,Alpestre,Rio Grande do Sul
2392,30/07/2018,Entre 10 a 15 anos,Terra Roxa,Paraná
2438,04/09/2020,Entre 50 a 61 anos,Matozinhos,Minas Gerais
2441,16/04/2019,Entre 16 a 21 anos,Cajueiro da Praia,Piauí
2492,29/10/2020,Entre 16 a 21 anos,Figueirão,Mato Grosso do Sul
2551,29/11/2018,Entre 22 a 27 anos,Treze de Maio,Santa Catarina
2597,04/07/2020,Entre 22 a 27 anos,Ponta Grossa,Paraná
2646,13/10/2020,Entre 50 a 61 anos,Ipubi,Pernambuco
2647,07/07/2018,Entre 10 a 15 anos,Luiz Alves,Santa Catarina
2669,12/11/2019,Mais de 70 anos,Belém de Maria,Pernambuco
2811,28/07/2020,Entre 50 a 61 anos,Montes Altos,Maranhão
2843,18/07/2021,Entre 37 a 49 anos,Bom Sucesso do Sul,Paraná
2850,25/03/2019,Entre 28 a 36 anos,Santa Cruz de Goiás,Goiás
